onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
31.374	n/a	15687	seqLearning_start	91	n/a	n/a	8
37.638	n/a	18819	learningBlock_1	31	n/a	n/a	8
37.674	n/a	18837	dot_no1_ON	11	n/a	n/a	8
38.262	n/a	19131	dot_no1_OFF	21	n/a	n/a	8
39.582	n/a	19791	dot_no6_ON	16	n/a	n/a	8
40.162	n/a	20081	dot_no6_OFF	26	n/a	n/a	8
41.482	n/a	20741	dot_no4_ON	14	n/a	n/a	8
42.062	n/a	21031	dot_no4_OFF	24	n/a	n/a	8
43.382	n/a	21691	dot_no2_ON	12	n/a	n/a	8
43.962	n/a	21981	dot_no2_OFF	22	n/a	n/a	8
45.282	n/a	22641	dot_no7_ON	17	n/a	n/a	8
45.862	n/a	22931	dot_no7_OFF	27	n/a	n/a	8
47.182	n/a	23591	dot_no3_ON	13	n/a	n/a	8
47.772	n/a	23886	dot_no3_OFF	23	n/a	n/a	8
49.092	n/a	24546	dot_no8_ON	18	n/a	n/a	8
49.672	n/a	24836	dot_no8_OFF	28	n/a	n/a	8
50.992	n/a	25496	dot_no5_ON	15	n/a	n/a	8
51.572	n/a	25786	dot_no5_OFF	25	n/a	n/a	8
52.892	n/a	26446	dot_no2_ON	12	n/a	n/a	8
53.472	n/a	26736	dot_no2_OFF	22	n/a	n/a	8
54.792	n/a	27396	dot_no7_ON	17	n/a	n/a	8
55.372	n/a	27686	dot_no7_OFF	27	1-6-4-2-7-8-3-5-7-1	1-6-4-2-7-3-8-5-2-7	8
121.172	n/a	60586	learningBlock_2	32	n/a	n/a	8
121.18	n/a	60590	dot_no1_ON	11	n/a	n/a	8
121.76	n/a	60880	dot_no1_OFF	21	n/a	n/a	8
123.08	n/a	61540	dot_no6_ON	16	n/a	n/a	8
123.66	n/a	61830	dot_no6_OFF	26	n/a	n/a	8
124.98	n/a	62490	dot_no4_ON	14	n/a	n/a	8
125.56	n/a	62780	dot_no4_OFF	24	n/a	n/a	8
126.88	n/a	63440	dot_no2_ON	12	n/a	n/a	8
127.46	n/a	63730	dot_no2_OFF	22	n/a	n/a	8
128.78	n/a	64390	dot_no7_ON	17	n/a	n/a	8
129.37	n/a	64685	dot_no7_OFF	27	n/a	n/a	8
130.69	n/a	65345	dot_no3_ON	13	n/a	n/a	8
131.27	n/a	65635	dot_no3_OFF	23	n/a	n/a	8
132.59	n/a	66295	dot_no8_ON	18	n/a	n/a	8
133.17	n/a	66585	dot_no8_OFF	28	n/a	n/a	8
134.49	n/a	67245	dot_no5_ON	15	n/a	n/a	8
135.07	n/a	67535	dot_no5_OFF	25	n/a	n/a	8
136.39	n/a	68195	dot_no2_ON	12	n/a	n/a	8
136.97	n/a	68485	dot_no2_OFF	22	n/a	n/a	8
138.3	n/a	69150	dot_no7_ON	17	n/a	n/a	8
138.88	n/a	69440	dot_no7_OFF	27	1-6-4-2-7-3-8-5-7-8	1-6-4-2-7-3-8-5-2-7	8
163.312	n/a	81656	learningBlock_3	33	n/a	n/a	8
163.32	n/a	81660	dot_no1_ON	11	n/a	n/a	8
163.9	n/a	81950	dot_no1_OFF	21	n/a	n/a	8
165.23	n/a	82615	dot_no6_ON	16	n/a	n/a	8
165.81	n/a	82905	dot_no6_OFF	26	n/a	n/a	8
167.13	n/a	83565	dot_no4_ON	14	n/a	n/a	8
167.71	n/a	83855	dot_no4_OFF	24	n/a	n/a	8
169.03	n/a	84515	dot_no2_ON	12	n/a	n/a	8
