onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
25.932	n/a	12966	seqLearning_start	91	n/a	n/a	8
32.19	n/a	16095	learningBlock_1	31	n/a	n/a	8
32.22	n/a	16110	dot_no1_ON	11	n/a	n/a	8
32.808	n/a	16404	dot_no1_OFF	21	n/a	n/a	8
34.128	n/a	17064	dot_no6_ON	16	n/a	n/a	8
34.708	n/a	17354	dot_no6_OFF	26	n/a	n/a	8
36.028	n/a	18014	dot_no4_ON	14	n/a	n/a	8
36.608	n/a	18304	dot_no4_OFF	24	n/a	n/a	8
37.928	n/a	18964	dot_no2_ON	12	n/a	n/a	8
38.508	n/a	19254	dot_no2_OFF	22	n/a	n/a	8
39.828	n/a	19914	dot_no7_ON	17	n/a	n/a	8
40.408	n/a	20204	dot_no7_OFF	27	n/a	n/a	8
41.728	n/a	20864	dot_no3_ON	13	n/a	n/a	8
42.318	n/a	21159	dot_no3_OFF	23	n/a	n/a	8
43.638	n/a	21819	dot_no8_ON	18	n/a	n/a	8
44.218	n/a	22109	dot_no8_OFF	28	n/a	n/a	8
45.538	n/a	22769	dot_no5_ON	15	n/a	n/a	8
46.118	n/a	23059	dot_no5_OFF	25	n/a	n/a	8
47.438	n/a	23719	dot_no2_ON	12	n/a	n/a	8
48.02	n/a	24010	dot_no2_OFF	22	n/a	n/a	8
49.338	n/a	24669	dot_no7_ON	17	n/a	n/a	8
49.918	n/a	24959	dot_no7_OFF	27	1-6-3-8-4-7-5-2-4-2	1-6-4-2-7-3-8-5-2-7	8
105.142	n/a	52571	learningBlock_2	32	n/a	n/a	8
105.15	n/a	52575	dot_no1_ON	11	n/a	n/a	8
105.74	n/a	52870	dot_no1_OFF	21	n/a	n/a	8
107.06	n/a	53530	dot_no6_ON	16	n/a	n/a	8
107.64	n/a	53820	dot_no6_OFF	26	n/a	n/a	8
108.96	n/a	54480	dot_no4_ON	14	n/a	n/a	8
109.54	n/a	54770	dot_no4_OFF	24	n/a	n/a	8
110.86	n/a	55430	dot_no2_ON	12	n/a	n/a	8
111.44	n/a	55720	dot_no2_OFF	22	n/a	n/a	8
112.76	n/a	56380	dot_no7_ON	17	n/a	n/a	8
113.34	n/a	56670	dot_no7_OFF	27	n/a	n/a	8
114.66	n/a	57330	dot_no3_ON	13	n/a	n/a	8
115.24	n/a	57620	dot_no3_OFF	23	n/a	n/a	8
116.56	n/a	58280	dot_no8_ON	18	n/a	n/a	8
117.14	n/a	58570	dot_no8_OFF	28	n/a	n/a	8
118.46	n/a	59230	dot_no5_ON	15	n/a	n/a	8
119.04	n/a	59520	dot_no5_OFF	25	n/a	n/a	8
120.36	n/a	60180	dot_no2_ON	12	n/a	n/a	8
120.94	n/a	60470	dot_no2_OFF	22	n/a	n/a	8
122.26	n/a	61130	dot_no7_ON	17	n/a	n/a	8
122.84	n/a	61420	dot_no7_OFF	27	1-5-8-6-7-3-2-6-6-4	1-6-4-2-7-3-8-5-2-7	8
150.774	n/a	75387	learningBlock_3	33	n/a	n/a	8
150.78	n/a	75390	dot_no1_ON	11	n/a	n/a	8
151.36	n/a	75680	dot_no1_OFF	21	n/a	n/a	8
152.682	n/a	76341	dot_no6_ON	16	n/a	n/a	8
153.26	n/a	76630	dot_no6_OFF	26	n/a	n/a	8
154.58	n/a	77290	dot_no4_ON	14	n/a	n/a	8
155.16	n/a	77580	dot_no4_OFF	24	n/a	n/a	8
156.482	n/a	78241	dot_no2_ON	12	n/a	n/a	8
157.06	n/a	78530	dot_no2_OFF	22	n/a	n/a	8
158.38	n/a	79190	dot_no7_ON	17	n/a	n/a	8
158.96	n/a	79480	dot_no7_OFF	27	n/a	n/a	8
160.28	n/a	80140	dot_no3_ON	13	n/a	n/a	8
160.86	n/a	80430	dot_no3_OFF	23	n/a	n/a	8
162.18	n/a	81090	dot_no8_ON	18	n/a	n/a	8
162.762	n/a	81381	dot_no8_OFF	28	n/a	n/a	8
164.082	n/a	82041	dot_no5_ON	15	n/a	n/a	8
164.662	n/a	82331	dot_no5_OFF	25	n/a	n/a	8
165.982	n/a	82991	dot_no2_ON	12	n/a	n/a	8
166.562	n/a	83281	dot_no2_OFF	22	n/a	n/a	8
167.882	n/a	83941	dot_no7_ON	17	n/a	n/a	8
168.462	n/a	84231	dot_no7_OFF	27	1-6-2-5-7-3-8-5-5-3	1-6-4-2-7-3-8-5-2-7	8
200.494	n/a	100247	learningBlock_4	34	n/a	n/a	8
200.502	n/a	100251	dot_no1_ON	11	n/a	n/a	8
201.082	n/a	100541	dot_no1_OFF	21	n/a	n/a	8
202.402	n/a	101201	dot_no6_ON	16	n/a	n/a	8
202.982	n/a	101491	dot_no6_OFF	26	n/a	n/a	8
204.302	n/a	102151	dot_no4_ON	14	n/a	n/a	8
204.882	n/a	102441	dot_no4_OFF	24	n/a	n/a	8
