onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
44.544	n/a	22272	seqLearning_start	91	n/a	n/a	8
53.862	n/a	26931	learningBlock_1	31	n/a	n/a	8
53.908	n/a	26954	dot_no1_ON	11	n/a	n/a	8
54.496	n/a	27248	dot_no1_OFF	21	n/a	n/a	8
55.818	n/a	27909	dot_no6_ON	16	n/a	n/a	8
56.406	n/a	28203	dot_no6_OFF	26	n/a	n/a	8
57.728	n/a	28864	dot_no4_ON	14	n/a	n/a	8
58.316	n/a	29158	dot_no4_OFF	24	n/a	n/a	8
59.638	n/a	29819	dot_no2_ON	12	n/a	n/a	8
60.226	n/a	30113	dot_no2_OFF	22	n/a	n/a	8
61.548	n/a	30774	dot_no7_ON	17	n/a	n/a	8
62.136	n/a	31068	dot_no7_OFF	27	n/a	n/a	8
63.458	n/a	31729	dot_no3_ON	13	n/a	n/a	8
64.046	n/a	32023	dot_no3_OFF	23	n/a	n/a	8
65.368	n/a	32684	dot_no8_ON	18	n/a	n/a	8
65.956	n/a	32978	dot_no8_OFF	28	n/a	n/a	8
67.278	n/a	33639	dot_no5_ON	15	n/a	n/a	8
67.868	n/a	33934	dot_no5_OFF	25	n/a	n/a	8
69.188	n/a	34594	dot_no2_ON	12	n/a	n/a	8
69.776	n/a	34888	dot_no2_OFF	22	n/a	n/a	8
71.098	n/a	35549	dot_no7_ON	17	n/a	n/a	8
71.686	n/a	35843	dot_no7_OFF	27	1-6-2-4-8-3-7-5-1-4	1-6-4-2-7-3-8-5-2-7	8
100.024	n/a	50012	learningBlock_2	32	n/a	n/a	8
100.038	n/a	50019	dot_no1_ON	11	n/a	n/a	8
100.626	n/a	50313	dot_no1_OFF	21	n/a	n/a	8
101.948	n/a	50974	dot_no6_ON	16	n/a	n/a	8
102.536	n/a	51268	dot_no6_OFF	26	n/a	n/a	8
103.858	n/a	51929	dot_no4_ON	14	n/a	n/a	8
104.446	n/a	52223	dot_no4_OFF	24	n/a	n/a	8
105.768	n/a	52884	dot_no2_ON	12	n/a	n/a	8
106.358	n/a	53179	dot_no2_OFF	22	n/a	n/a	8
107.678	n/a	53839	dot_no7_ON	17	n/a	n/a	8
108.266	n/a	54133	dot_no7_OFF	27	n/a	n/a	8
109.588	n/a	54794	dot_no3_ON	13	n/a	n/a	8
110.176	n/a	55088	dot_no3_OFF	23	n/a	n/a	8
111.498	n/a	55749	dot_no8_ON	18	n/a	n/a	8
112.088	n/a	56044	dot_no8_OFF	28	n/a	n/a	8
113.408	n/a	56704	dot_no5_ON	15	n/a	n/a	8
113.998	n/a	56999	dot_no5_OFF	25	n/a	n/a	8
115.318	n/a	57659	dot_no2_ON	12	n/a	n/a	8
115.906	n/a	57953	dot_no2_OFF	22	n/a	n/a	8
117.228	n/a	58614	dot_no7_ON	17	n/a	n/a	8
117.816	n/a	58908	dot_no7_OFF	27	1-6-4-2-8-3-5-2-2-2	1-6-4-2-7-3-8-5-2-7	8
155.854	n/a	77927	learningBlock_3	33	n/a	n/a	8
155.868	n/a	77934	dot_no1_ON	11	n/a	n/a	8
156.456	n/a	78228	dot_no1_OFF	21	n/a	n/a	8
157.778	n/a	78889	dot_no6_ON	16	n/a	n/a	8
158.366	n/a	79183	dot_no6_OFF	26	n/a	n/a	8
159.688	n/a	79844	dot_no4_ON	14	n/a	n/a	8
160.276	n/a	80138	dot_no4_OFF	24	n/a	n/a	8
161.598	n/a	80799	dot_no2_ON	12	n/a	n/a	8
162.188	n/a	81094	dot_no2_OFF	22	n/a	n/a	8
163.508	n/a	81754	dot_no7_ON	17	n/a	n/a	8
164.098	n/a	82049	dot_no7_OFF	27	n/a	n/a	8
165.418	n/a	82709	dot_no3_ON	13	n/a	n/a	8
166.008	n/a	83004	dot_no3_OFF	23	n/a	n/a	8
167.328	n/a	83664	dot_no8_ON	18	n/a	n/a	8
167.918	n/a	83959	dot_no8_OFF	28	n/a	n/a	8
169.238	n/a	84619	dot_no5_ON	15	n/a	n/a	8
169.826	n/a	84913	dot_no5_OFF	25	n/a	n/a	8
171.148	n/a	85574	dot_no2_ON	12	n/a	n/a	8
171.736	n/a	85868	dot_no2_OFF	22	n/a	n/a	8
173.058	n/a	86529	dot_no7_ON	17	n/a	n/a	8
173.646	n/a	86823	dot_no7_OFF	27	1-6-4-2-7-3-8-5-2-6	1-6-4-2-7-3-8-5-2-7	8
193.454	n/a	96727	learningBlock_4	34	n/a	n/a	8
193.468	n/a	96734	dot_no1_ON	11	n/a	n/a	8
194.056	n/a	97028	dot_no1_OFF	21	n/a	n/a	8
195.378	n/a	97689	dot_no6_ON	16	n/a	n/a	8
195.966	n/a	97983	dot_no6_OFF	26	n/a	n/a	8
197.288	n/a	98644	dot_no4_ON	14	n/a	n/a	8
197.876	n/a	98938	dot_no4_OFF	24	n/a	n/a	8
199.198	n/a	99599	dot_no2_ON	12	n/a	n/a	8
199.786	n/a	99893	dot_no2_OFF	22	n/a	n/a	8
201.108	n/a	100554	dot_no7_ON	17	n/a	n/a	8
201.696	n/a	100848	dot_no7_OFF	27	n/a	n/a	8
203.018	n/a	101509	dot_no3_ON	13	n/a	n/a	8
203.608	n/a	101804	dot_no3_OFF	23	n/a	n/a	8
204.928	n/a	102464	dot_no8_ON	18	n/a	n/a	8
205.518	n/a	102759	dot_no8_OFF	28	n/a	n/a	8
206.838	n/a	103419	dot_no5_ON	15	n/a	n/a	8
207.426	n/a	103713	dot_no5_OFF	25	n/a	n/a	8
208.748	n/a	104374	dot_no2_ON	12	n/a	n/a	8
209.338	n/a	104669	dot_no2_OFF	22	n/a	n/a	8
210.658	n/a	105329	dot_no7_ON	17	n/a	n/a	8
211.248	n/a	105624	dot_no7_OFF	27	1-6-4-2-7-3-8-5-2-7	1-6-4-2-7-3-8-5-2-7	8
228.248	n/a	114124	learningBlock_5	35	n/a	n/a	8
228.258	n/a	114129	dot_no1_ON	11	n/a	n/a	8
228.846	n/a	114423	dot_no1_OFF	21	n/a	n/a	8
230.168	n/a	115084	dot_no6_ON	16	n/a	n/a	8
230.756	n/a	115378	dot_no6_OFF	26	n/a	n/a	8
232.078	n/a	116039	dot_no4_ON	14	n/a	n/a	8
232.668	n/a	116334	dot_no4_OFF	24	n/a	n/a	8
233.988	n/a	116994	dot_no2_ON	12	n/a	n/a	8
234.578	n/a	117289	dot_no2_OFF	22	n/a	n/a	8
235.898	n/a	117949	dot_no7_ON	17	n/a	n/a	8
236.486	n/a	118243	dot_no7_OFF	27	n/a	n/a	8
237.808	n/a	118904	dot_no3_ON	13	n/a	n/a	8
238.396	n/a	119198	dot_no3_OFF	23	n/a	n/a	8
239.718	n/a	119859	dot_no8_ON	18	n/a	n/a	8
240.306	n/a	120153	dot_no8_OFF	28	n/a	n/a	8
241.628	n/a	120814	dot_no5_ON	15	n/a	n/a	8
242.218	n/a	121109	dot_no5_OFF	25	n/a	n/a	8
243.538	n/a	121769	dot_no2_ON	12	n/a	n/a	8
244.126	n/a	122063	dot_no2_OFF	22	n/a	n/a	8
245.448	n/a	122724	dot_no7_ON	17	n/a	n/a	8
246.036	n/a	123018	dot_no7_OFF	27	1-6-4-2-7-3-8-5-2-7	1-6-4-2-7-3-8-5-2-7	8
263.63	n/a	131815	seqLearning_stop	50	n/a	n/a	8
264.303	n/a	132151.5	boundary	boundary	n/a	n/a	8
