onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
52.422	n/a	26211	seqLearning_start	91	n/a	n/a	8
61.768	n/a	30884	learningBlock_1	31	n/a	n/a	8
61.786	n/a	30893	dot_no1_ON	11	n/a	n/a	8
62.374	n/a	31187	dot_no1_OFF	21	n/a	n/a	8
63.694	n/a	31847	dot_no6_ON	16	n/a	n/a	8
64.284	n/a	32142	dot_no6_OFF	26	n/a	n/a	8
65.604	n/a	32802	dot_no4_ON	14	n/a	n/a	8
66.194	n/a	33097	dot_no4_OFF	24	n/a	n/a	8
67.514	n/a	33757	dot_no2_ON	12	n/a	n/a	8
68.104	n/a	34052	dot_no2_OFF	22	n/a	n/a	8
69.424	n/a	34712	dot_no7_ON	17	n/a	n/a	8
70.014	n/a	35007	dot_no7_OFF	27	n/a	n/a	8
71.334	n/a	35667	dot_no3_ON	13	n/a	n/a	8
71.924	n/a	35962	dot_no3_OFF	23	n/a	n/a	8
73.244	n/a	36622	dot_no8_ON	18	n/a	n/a	8
73.834	n/a	36917	dot_no8_OFF	28	n/a	n/a	8
75.154	n/a	37577	dot_no5_ON	15	n/a	n/a	8
75.744	n/a	37872	dot_no5_OFF	25	n/a	n/a	8
77.064	n/a	38532	dot_no2_ON	12	n/a	n/a	8
77.654	n/a	38827	dot_no2_OFF	22	n/a	n/a	8
78.974	n/a	39487	dot_no7_ON	17	n/a	n/a	8
79.564	n/a	39782	dot_no7_OFF	27	1-6-2-5-8-8-3-4-7-2	1-6-4-2-7-3-8-5-2-7	8
109.758	n/a	54879	learningBlock_2	32	n/a	n/a	8
109.774	n/a	54887	dot_no1_ON	11	n/a	n/a	8
110.364	n/a	55182	dot_no1_OFF	21	n/a	n/a	8
111.686	n/a	55843	dot_no6_ON	16	n/a	n/a	8
112.274	n/a	56137	dot_no6_OFF	26	n/a	n/a	8
113.596	n/a	56798	dot_no4_ON	14	n/a	n/a	8
114.184	n/a	57092	dot_no4_OFF	24	n/a	n/a	8
115.504	n/a	57752	dot_no2_ON	12	n/a	n/a	8
116.094	n/a	58047	dot_no2_OFF	22	n/a	n/a	8
117.416	n/a	58708	dot_no7_ON	17	n/a	n/a	8
118.004	n/a	59002	dot_no7_OFF	27	n/a	n/a	8
119.326	n/a	59663	dot_no3_ON	13	n/a	n/a	8
119.914	n/a	59957	dot_no3_OFF	23	n/a	n/a	8
121.234	n/a	60617	dot_no8_ON	18	n/a	n/a	8
121.824	n/a	60912	dot_no8_OFF	28	n/a	n/a	8
123.146	n/a	61573	dot_no5_ON	15	n/a	n/a	8
123.734	n/a	61867	dot_no5_OFF	25	n/a	n/a	8
125.054	n/a	62527	dot_no2_ON	12	n/a	n/a	8
