Row,data_pnts,event_cnt,key_events_exist,quality_checks
NDARAA075AMK,137789,78,1,n/a
NDARAA117NEJ,NaN,NaN,0,n/a
NDARAC904DMU,120306,79,1,n/a
NDARAD481FXF,116873,78,1,n/a
NDARAE012DGA,137481,83,1,n/a
NDARAE199TDD,124485,87,1,n/a
NDARAG143ARJ,240524,77,1,n/a
NDARAJ366ZFA,139255,77,1,n/a
NDARAJ807UYR,123807,113,1,n/a
NDARAK653RYE,176535,80,1,n/a
NDARAM048AFP,125379,77,1,n/a
NDARAM277WZT,92416,76,1,n/a
NDARAM704GKZ,118265,77,1,n/a
NDARAN385MDH,119722,79,1,n/a
NDARAN461TGQ,166021,76,1,n/a
NDARAP359UM6,118372,77,1,n/a
NDARAT100AEQ,118895,77,1,n/a
NDARAU447JZH,125051,77,1,n/a
NDARAV534CJH,155547,78,1,n/a
NDARAV747WVL,143174,78,1,n/a
NDARAV894XWD,135576,86,1,n/a
NDARAY734WB0,132489,77,1,n/a
NDARBA507GCT,131650,77,1,n/a
NDARBB854DRN,167714,76,1,n/a
NDARBC580HR5,153539,76,1,n/a
NDARBD879MBX,140269,78,1,n/a
NDARBF805EHN,132329,79,1,n/a
NDARBH024NH2,127213,91,1,n/a
NDARBK082PDD,125416,82,1,n/a
NDARBK669XJQ,156606,77,1,n/a
NDARBL117AUV,142360,76,1,n/a
NDARBM173BJG,115378,85,1,n/a
NDARBM213BEA,NaN,NaN,0,n/a
NDARBP894XHG,98516,76,1,n/a
NDARBT747UHM,181260,77,1,n/a
NDARBU112XZE,122526,78,1,n/a
NDARBX121UM9,NaN,NaN,0,n/a
NDARCA153NKE,137416,93,1,n/a
NDARCA186WGH,119058,79,1,n/a
NDARCD401HGZ,122146,76,1,n/a
NDARCE368YHM,124989,70,1,n/a
NDARCE721YB5,143622,92,1,n/a
NDARCH755XDL,119309,78,1,n/a
NDARCJ594BWQ,117834,82,1,n/a
NDARCL080RHP,117372,77,1,n/a
NDARCN669XPR,99066,78,1,n/a
NDARCR499NE4,NaN,NaN,0,n/a
NDARCT933HF2,141393,81,1,n/a
NDARCU417HRA,116451,78,1,n/a
NDARCW071AU5,117617,93,1,n/a
NDARCW094JCG,165580,79,1,n/a
NDARCW419GBD,277298,111,1,n/a
NDARCW963FP9,117280,78,1,n/a
NDARCX221CWA,121182,77,1,n/a
NDARCZ947WU5,125187,78,1,n/a
NDARDB804YHE,123194,79,1,n/a
NDARDH670PXH,205438,77,1,n/a
NDARDL511UND,102380,75,1,n/a
NDARDN702GXX,103978,73,1,n/a
NDARDU986RBM,126866,76,1,n/a
NDARDV088AA3,158390,77,1,n/a
NDARDX469TC1,146480,80,1,n/a
NDARDX770PJK,NaN,NaN,0,n/a
NDARDZ946KVL,NaN,NaN,0,n/a
NDAREC182WW2,135106,77,1,n/a
NDARED047DTH,130721,101,1,n/a
NDAREE196FEG,137065,80,1,n/a
NDAREF057VX5,174633,77,1,n/a
NDAREG561ML5,132935,79,1,n/a
NDAREH876HG2,96379,76,1,n/a
NDAREH905REB,NaN,NaN,0,n/a
NDAREK544ENR,129110,77,1,n/a
NDAREK947FYP,125222,83,1,n/a
NDAREM018TJQ,116253,78,1,n/a
NDAREM731BYM,122416,81,1,n/a
NDAREN519BLJ,188780,77,1,n/a
NDARER840MKU,262975,82,1,n/a
NDARET550NXC,269073,76,1,n/a
NDARET632ELD,144303,79,1,n/a
NDARET949LMU,135783,70,1,n/a
NDAREV970HAN,120383,78,1,n/a
NDAREW976FNL,NaN,NaN,0,n/a
NDAREX091KUR,121716,78,1,n/a
NDAREY741MG9,NaN,NaN,0,n/a
NDAREZ098ZPE,119531,108,1,n/a
NDARFB575BAT,177905,77,1,n/a
NDARFD316UD2,124284,76,1,n/a
NDARFE163HVN,118020,77,1,n/a
NDARFG114VB1,152746,76,1,n/a
