onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
124.362	n/a	62181	seqLearning_start	91	n/a	n/a	8
133.694	n/a	66847	learningBlock_1	31	n/a	n/a	8
133.712	n/a	66856	dot_no1_ON	11	n/a	n/a	8
134.3	n/a	67150	dot_no1_OFF	21	n/a	n/a	8
135.62	n/a	67810	dot_no6_ON	16	n/a	n/a	8
136.21	n/a	68105	dot_no6_OFF	26	n/a	n/a	8
137.53	n/a	68765	dot_no4_ON	14	n/a	n/a	8
138.12	n/a	69060	dot_no4_OFF	24	n/a	n/a	8
139.44	n/a	69720	dot_no2_ON	12	n/a	n/a	8
140.03	n/a	70015	dot_no2_OFF	22	n/a	n/a	8
141.352	n/a	70676	dot_no7_ON	17	n/a	n/a	8
141.94	n/a	70970	dot_no7_OFF	27	n/a	n/a	8
143.262	n/a	71631	dot_no3_ON	13	n/a	n/a	8
143.85	n/a	71925	dot_no3_OFF	23	n/a	n/a	8
145.17	n/a	72585	dot_no8_ON	18	n/a	n/a	8
145.76	n/a	72880	dot_no8_OFF	28	n/a	n/a	8
147.08	n/a	73540	dot_no5_ON	15	n/a	n/a	8
147.67	n/a	73835	dot_no5_OFF	25	n/a	n/a	8
148.99	n/a	74495	dot_no2_ON	12	n/a	n/a	8
149.58	n/a	74790	dot_no2_OFF	22	n/a	n/a	8
150.9	n/a	75450	dot_no7_ON	17	n/a	n/a	8
151.49	n/a	75745	dot_no7_OFF	27	1-6-3-5-7-3-2-4-8-7	1-6-4-2-7-3-8-5-2-7	8
206.346	n/a	103173	learningBlock_2	32	n/a	n/a	8
206.36	n/a	103180	dot_no1_ON	11	n/a	n/a	8
206.95	n/a	103475	dot_no1_OFF	21	n/a	n/a	8
208.272	n/a	104136	dot_no6_ON	16	n/a	n/a	8
208.86	n/a	104430	dot_no6_OFF	26	n/a	n/a	8
210.182	n/a	105091	dot_no4_ON	14	n/a	n/a	8
210.77	n/a	105385	dot_no4_OFF	24	n/a	n/a	8
212.092	n/a	106046	dot_no2_ON	12	n/a	n/a	8
212.68	n/a	106340	dot_no2_OFF	22	n/a	n/a	8
214	n/a	107000	dot_no7_ON	17	n/a	n/a	8
214.59	n/a	107295	dot_no7_OFF	27	n/a	n/a	8
215.912	n/a	107956	dot_no3_ON	13	n/a	n/a	8
216.5	n/a	108250	dot_no3_OFF	23	n/a	n/a	8
217.822	n/a	108911	dot_no8_ON	18	n/a	n/a	8
218.41	n/a	109205	dot_no8_OFF	28	n/a	n/a	8
219.73	n/a	109865	dot_no5_ON	15	n/a	n/a	8
220.32	n/a	110160	dot_no5_OFF	25	n/a	n/a	8
221.64	n/a	110820	dot_no2_ON	12	n/a	n/a	8
222.23	n/a	111115	dot_no2_OFF	22	n/a	n/a	8
223.552	n/a	111776	dot_no7_ON	17	n/a	n/a	8
224.14	n/a	112070	dot_no7_OFF	27	1-6-4-2-7-2-4-1-3-8	1-6-4-2-7-3-8-5-2-7	8
262.714	n/a	131357	learningBlock_3	33	n/a	n/a	8
262.722	n/a	131361	dot_no1_ON	11	n/a	n/a	8
263.31	n/a	131655	dot_no1_OFF	21	n/a	n/a	8
264.632	n/a	132316	dot_no6_ON	16	n/a	n/a	8
265.22	n/a	132610	dot_no6_OFF	26	n/a	n/a	8
266.542	n/a	133271	dot_no4_ON	14	n/a	n/a	8
267.13	n/a	133565	dot_no4_OFF	24	n/a	n/a	8
268.452	n/a	134226	dot_no2_ON	12	n/a	n/a	8
269.04	n/a	134520	dot_no2_OFF	22	n/a	n/a	8
270.362	n/a	135181	dot_no7_ON	17	n/a	n/a	8
270.95	n/a	135475	dot_no7_OFF	27	n/a	n/a	8
272.272	n/a	136136	dot_no3_ON	13	n/a	n/a	8
272.86	n/a	136430	dot_no3_OFF	23	n/a	n/a	8
274.182	n/a	137091	dot_no8_ON	18	n/a	n/a	8
274.77	n/a	137385	dot_no8_OFF	28	n/a	n/a	8
276.092	n/a	138046	dot_no5_ON	15	n/a	n/a	8
276.68	n/a	138340	dot_no5_OFF	25	n/a	n/a	8
278.002	n/a	139001	dot_no2_ON	12	n/a	n/a	8
278.59	n/a	139295	dot_no2_OFF	22	n/a	n/a	8
279.912	n/a	139956	dot_no7_ON	17	n/a	n/a	8
280.5	n/a	140250	dot_no7_OFF	27	1-6-4-2-7-3-8-5-1-3	1-6-4-2-7-3-8-5-2-7	8
301.616	n/a	150808	learningBlock_4	34	n/a	n/a	8
301.632	n/a	150816	dot_no1_ON	11	n/a	n/a	8
302.22	n/a	151110	dot_no1_OFF	21	n/a	n/a	8
303.542	n/a	151771	dot_no6_ON	16	n/a	n/a	8
304.13	n/a	152065	dot_no6_OFF	26	n/a	n/a	8
305.452	n/a	152726	dot_no4_ON	14	n/a	n/a	8
306.04	n/a	153020	dot_no4_OFF	24	n/a	n/a	8
307.362	n/a	153681	dot_no2_ON	12	n/a	n/a	8
307.95	n/a	153975	dot_no2_OFF	22	n/a	n/a	8
309.272	n/a	154636	dot_no7_ON	17	n/a	n/a	8
309.86	n/a	154930	dot_no7_OFF	27	n/a	n/a	8
311.182	n/a	155591	dot_no3_ON	13	n/a	n/a	8
311.77	n/a	155885	dot_no3_OFF	23	n/a	n/a	8
313.092	n/a	156546	dot_no8_ON	18	n/a	n/a	8
313.68	n/a	156840	dot_no8_OFF	28	n/a	n/a	8
315.002	n/a	157501	dot_no5_ON	15	n/a	n/a	8
315.59	n/a	157795	dot_no5_OFF	25	n/a	n/a	8
316.912	n/a	158456	dot_no2_ON	12	n/a	n/a	8
317.5	n/a	158750	dot_no2_OFF	22	n/a	n/a	8
318.822	n/a	159411	dot_no7_ON	17	n/a	n/a	8
319.41	n/a	159705	dot_no7_OFF	27	1-6-3-4-2-7-8-3-5-1	1-6-4-2-7-3-8-5-2-7	8
350.564	n/a	175282	learningBlock_5	35	n/a	n/a	8
350.572	n/a	175286	dot_no1_ON	11	n/a	n/a	8
351.16	n/a	175580	dot_no1_OFF	21	n/a	n/a	8
352.48	n/a	176240	dot_no6_ON	16	n/a	n/a	8
353.07	n/a	176535	dot_no6_OFF	26	n/a	n/a	8
354.392	n/a	177196	dot_no4_ON	14	n/a	n/a	8
354.98	n/a	177490	dot_no4_OFF	24	n/a	n/a	8
356.302	n/a	178151	dot_no2_ON	12	n/a	n/a	8
356.89	n/a	178445	dot_no2_OFF	22	n/a	n/a	8
358.212	n/a	179106	dot_no7_ON	17	n/a	n/a	8
358.8	n/a	179400	dot_no7_OFF	27	n/a	n/a	8
360.122	n/a	180061	dot_no3_ON	13	n/a	n/a	8
360.71	n/a	180355	dot_no3_OFF	23	n/a	n/a	8
362.032	n/a	181016	dot_no8_ON	18	n/a	n/a	8
362.622	n/a	181311	dot_no8_OFF	28	n/a	n/a	8
363.942	n/a	181971	dot_no5_ON	15	n/a	n/a	8
364.53	n/a	182265	dot_no5_OFF	25	n/a	n/a	8
365.852	n/a	182926	dot_no2_ON	12	n/a	n/a	8
366.44	n/a	183220	dot_no2_OFF	22	n/a	n/a	8
367.762	n/a	183881	dot_no7_ON	17	n/a	n/a	8
368.35	n/a	184175	dot_no7_OFF	27	1-6-4-2-7-3-8-2-5-1	1-6-4-2-7-3-8-5-2-7	8
395.532	n/a	197766	seqLearning_stop	50	n/a	n/a	8
396.253	n/a	198126.5	boundary	boundary	n/a	n/a	8
